id,city,daypart,visit_daypart,year,daypart_index
368481,Hồ Chí Minh,11h - 14h,1.0,2018,3
368552,Hồ Chí Minh,0h - 9h,3.0,2018,1
368553,Hồ Chí Minh,9h - 11h,12.0,2018,2
368563,Hà Nội,17h - 21h,2.0,2018,5
368577,Đà Nẵng,0h - 9h,18.0,2018,1
368600,Hà Nội,17h - 21h,3.0,2018,5
368601,Hà Nội,17h - 21h,3.0,2018,5
368602,Hà Nội,17h - 21h,2.0,2018,5
368647,Hải Phòng,9h - 11h,3.0,2018,2
368647,Hải Phòng,0h - 9h,6.0,2018,1
368653,Hồ Chí Minh,17h - 21h,2.0,2018,5
368654,Hồ Chí Minh,0h - 9h,24.0,2018,1
368654,Hồ Chí Minh,17h - 21h,1.0,2018,5
368655,Hồ Chí Minh,0h - 9h,4.0,2018,1
368655,Hồ Chí Minh,9h - 11h,3.0,2018,2
368656,Hồ Chí Minh,0h - 9h,2.0,2018,1
368657,Hồ Chí Minh,0h - 9h,6.0,2018,1
368657,Hồ Chí Minh,17h - 21h,1.0,2018,5
368658,Hồ Chí Minh,14h - 17h,1.0,2018,4
368658,Hồ Chí Minh,17h - 21h,2.0,2018,5
368658,Hồ Chí Minh,0h - 9h,21.0,2018,1
368659,Hồ Chí Minh,0h - 9h,2.0,2018,1
368660,Hồ Chí Minh,17h - 21h,2.0,2018,5
368661,Hồ Chí Minh,0h - 9h,2.0,2018,1
368661,Hồ Chí Minh,9h - 11h,1.0,2018,2
368681,Hồ Chí Minh,14h - 17h,2.0,2018,4
368681,Hồ Chí Minh,11h - 14h,3.5,2018,3
368681,Hồ Chí Minh,0h - 9h,5.0,2018,1
368694,Đà Nẵng,0h - 9h,2.0,2018,1
368694,Đà Nẵng,9h - 11h,4.0,2018,2
368731,Đà Nẵng,0h - 9h,26.0,2018,1
368731,Đà Nẵng,11h - 14h,12.0,2018,3
368846,Hà Nội,17h - 21h,3.0,2018,5
368849,Hà Nội,9h - 11h,3.0,2018,2
368849,Hà Nội,17h - 21h,5.0,2018,5
368960,Đà Nẵng,0h - 9h,2.0,2018,1
368960,Đà Nẵng,17h - 21h,3.0,2018,5
368988,Đà Nẵng,0h - 9h,8.0,2018,1
369137,Hồ Chí Minh,11h - 14h,4.0,2018,3
369138,Hồ Chí Minh,9h - 11h,4.0,2018,2
369140,Hồ Chí Minh,14h - 17h,4.0,2018,4
369141,Hồ Chí Minh,9h - 11h,2.0,2018,2
369142,Hồ Chí Minh,9h - 11h,4.0,2018,2
369143,Hồ Chí Minh,9h - 11h,6.0,2018,2
369144,Hồ Chí Minh,9h - 11h,3.0,2018,2
369145,Hồ Chí Minh,11h - 14h,3.5,2018,3
369156,Hồ Chí Minh,17h - 21h,6.0,2018,5
369156,Hồ Chí Minh,11h - 14h,2.0,2018,3
369157,Hồ Chí Minh,17h - 21h,1.0,2018,5
369157,Hồ Chí Minh,0h - 9h,6.0,2018,1
369159,Hồ Chí Minh,0h - 9h,1.0,2018,1
369159,Hồ Chí Minh,17h - 21h,3.0,2018,5
369159,Hồ Chí Minh,11h - 14h,2.0,2018,3
369160,Hồ Chí Minh,9h - 11h,1.0,2018,2
369160,Hồ Chí Minh,0h - 9h,1.0,2018,1
369161,Hồ Chí Minh,17h - 21h,2.0,2018,5
369161,Hồ Chí Minh,21h+,1.5,2018,6
369161,Hồ Chí Minh,9h - 11h,3.0,2018,2
369161,Hồ Chí Minh,0h - 9h,2.0,2018,1
369217,Hải Phòng,9h - 11h,20.0,2018,2
369246,Đà Nẵng,0h - 9h,4.0,2018,1
369258,Đà Nẵng,11h - 14h,1.0,2018,3
369258,Đà Nẵng,0h - 9h,9.0,2018,1
369279,Hà Nội,17h - 21h,3.0,2018,5
369279,Hà Nội,9h - 11h,5.0,2018,2
369281,Hà Nội,17h - 21h,4.0,2018,5
369376,Hải Phòng,17h - 21h,1.0,2018,5
369377,Hải Phòng,9h - 11h,3.0,2018,2
369404,Hà Nội,21h+,1.0,2018,6
369404,Hà Nội,17h - 21h,1.0,2018,5
369422,Đà Nẵng,0h - 9h,4.0,2018,1
369434,Hồ Chí Minh,0h - 9h,8.0,2018,1
369434,Hồ Chí Minh,17h - 21h,4.0,2018,5
369435,Hồ Chí Minh,0h - 9h,6.0,2018,1
369436,Hồ Chí Minh,17h - 21h,2.0,2018,5
369436,Hồ Chí Minh,0h - 9h,4.0,2018,1
369437,Hồ Chí Minh,0h - 9h,6.0,2018,1
369495,Đà Nẵng,9h - 11h,3.0,2018,2
369495,Đà Nẵng,0h - 9h,2.0,2018,1
369496,Đà Nẵng,9h - 11h,6.0,2018,2
369496,Đà Nẵng,11h - 14h,4.0,2018,3
369501,Đà Nẵng,0h - 9h,4.0,2018,1
369513,Hồ Chí Minh,17h - 21h,4.0,2018,5
369514,Hồ Chí Minh,0h - 9h,21.0,2018,1
369514,Hồ Chí Minh,11h - 14h,3.0,2018,3
369533,Hà Nội,0h - 9h,2.0,2018,1
369533,Hà Nội,21h+,3.0,2018,6
369533,Hà Nội,17h - 21h,2.0,2018,5
369545,Đà Nẵng,14h - 17h,1.0,2018,4
369545,Đà Nẵng,0h - 9h,1.0,2018,1
369545,Đà Nẵng,9h - 11h,1.0,2018,2
369557,Đà Nẵng,0h - 9h,25.0,2018,1
369581,Đà Nẵng,17h - 21h,3.0,2018,5
369590,Hải Phòng,17h - 21h,1.0,2018,5
369611,Đà Nẵng,11h - 14h,2.0,2018,3
369611,Đà Nẵng,0h - 9h,24.0,2018,1
369611,Đà Nẵng,17h - 21h,5.0,2018,5
369685,Hà Nội,17h - 21h,3.0,2018,5
369685,Hà Nội,11h - 14h,1.0,2018,3
369685,Hà Nội,21h+,4.0,2018,6
369709,Đà Nẵng,0h - 9h,24.0,2018,1
369766,Đà Nẵng,0h - 9h,10.0,2018,1
369778,Đà Nẵng,0h - 9h,26.0,2018,1
369778,Đà Nẵng,17h - 21h,6.0,2018,5
369847,Hà Nội,0h - 9h,1.0,2018,1
369847,Hà Nội,17h - 21h,2.0,2018,5
369847,Hà Nội,21h+,2.0,2018,6
369862,Hải Phòng,21h+,5.0,2018,6
370069,Hà Nội,14h - 17h,2.0,2018,4
370069,Hà Nội,17h - 21h,2.0,2018,5
370069,Hà Nội,21h+,2.0,2018,6
370078,Đà Nẵng,0h - 9h,26.0,2018,1
370111,Đà Nẵng,0h - 9h,24.0,2018,1
370111,Đà Nẵng,17h - 21h,1.0,2018,5
370147,Hải Phòng,0h - 9h,3.0,2018,1
370239,Đà Nẵng,0h - 9h,8.0,2018,1
370345,Hà Nội,17h - 21h,3.0,2018,5
370345,Hà Nội,11h - 14h,5.0,2018,3
370346,Hà Nội,17h - 21h,5.0,2018,5
370422,Đà Nẵng,9h - 11h,4.0,2018,2
370457,Hồ Chí Minh,17h - 21h,4.0,2018,5
370458,Hồ Chí Minh,0h - 9h,24.0,2018,1
370459,Hồ Chí Minh,0h - 9h,24.0,2018,1
370790,Hồ Chí Minh,0h - 9h,24.0,2018,1
370790,Hồ Chí Minh,11h - 14h,1.0,2018,3
370790,Hồ Chí Minh,17h - 21h,1.0,2018,5
