id,year,city,brand,p1m,weekly,daily,visit,ppa,spending,segmentation,R_score,F_score,M_score,RFM_segment,KMeans_segment
94227,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,4.0,50.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
94868,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,2.0,45.0,180.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
94868,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,2.0,45.0,180.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
94985,2017,Hồ Chí Minh,Starbucks,Yes,Yes,No,10.0,60.0,600.0,Seg.03 - Premium (VND 60K - VND 99K),3,4,3,343,3
94988,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,2.0,50.0,100.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
94991,2017,Hồ Chí Minh,Phúc Long,Yes,No,No,3.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,2,222,0
95052,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,1.0,55.0,55.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
95193,2017,Hồ Chí Minh,Phúc Long,Yes,Yes,No,4.0,50.0,250.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
95253,2017,Hồ Chí Minh,The Coffee House,Yes,No,No,3.0,30.0,90.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,1,221,0
95834,2017,Hồ Chí Minh,Starbucks,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
95909,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,2.0,65.0,130.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
95910,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,10.0,50.0,1500.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
95910,2017,Hồ Chí Minh,Phúc Long,Yes,Yes,No,10.0,50.0,1500.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
95913,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,3.0,30.0,240.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,1,221,0
95913,2017,Hồ Chí Minh,The Coffee House,Yes,Yes,No,5.0,30.0,240.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,1,331,1
96122,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,5.0,55.0,275.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
96306,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,1.0,55.0,55.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
