id,city,companion_group,year
362977,Cần Thơ,Friends,2018
362978,Cần Thơ,Friends,2018
362979,Cần Thơ,Family,2018
363114,Hà Nội,Colleagues / Business partner,2018
363114,Hà Nội,Friends,2018
363115,Hà Nội,Family,2018
363116,Hà Nội,Friends,2018
363117,Hà Nội,Friends,2018
363279,Cần Thơ,Alone,2018
363279,Cần Thơ,Family,2018
363279,Cần Thơ,Friends,2018
363326,Cần Thơ,Friends,2018
363406,Cần Thơ,Family,2018
363454,Đà Nẵng,Family,2018
363631,Cần Thơ,Friends,2018
363656,Đà Nẵng,Friends,2018
363785,Cần Thơ,Colleagues / Business partner,2018
363813,Hà Nội,Friends,2018
363813,Hà Nội,Colleagues / Business partner,2018
363813,Hà Nội,Family,2018
363943,Đà Nẵng,Boyfriend / Girlfriend,2018
364039,Cần Thơ,Friends,2018
364102,Cần Thơ,Friends,2018
364345,Hà Nội,Friends,2018
364345,Hà Nội,Colleagues / Business partner,2018
364345,Hà Nội,Family,2018
364511,Hà Nội,Friends,2018
364513,Hà Nội,Family,2018
364513,Hà Nội,Colleagues / Business partner,2018
364513,Hà Nội,Friends,2018
364514,Hà Nội,Colleagues / Business partner,2018
364514,Hà Nội,Friends,2018
364677,Hà Nội,Friends,2018
364677,Hà Nội,Family,2018
364678,Hà Nội,Friends,2018
364678,Hà Nội,Boyfriend / Girlfriend,2018
364680,Hà Nội,Friends,2018
364680,Hà Nội,Colleagues / Business partner,2018
364680,Hà Nội,Family,2018
364680,Hà Nội,Alone,2018
365076,Cần Thơ,Family,2018
365304,Cần Thơ,Friends,2018
365304,Cần Thơ,Colleagues / Business partner,2018
365472,Cần Thơ,Family,2018
365525,Cần Thơ,Colleagues / Business partner,2018
365525,Cần Thơ,Friends,2018
365526,Cần Thơ,Family,2018
365657,Hà Nội,Family,2018
365657,Hà Nội,Colleagues / Business partner,2018
365657,Hà Nội,Friends,2018
365681,Hồ Chí Minh,Family,2018
365682,Hồ Chí Minh,Friends,2018
365717,Đà Nẵng,Family,2018
365734,Cần Thơ,Friends,2018
365735,Cần Thơ,Family,2018
365735,Cần Thơ,Friends,2018
365736,Cần Thơ,Friends,2018
365737,Cần Thơ,Friends,2018
365738,Cần Thơ,Friends,2018
365739,Cần Thơ,Friends,2018
365739,Cần Thơ,Colleagues / Business partner,2018
365740,Cần Thơ,Friends,2018
365740,Cần Thơ,Family,2018
365741,Cần Thơ,Friends,2018
365742,Cần Thơ,Family,2018
365742,Cần Thơ,Friends,2018
365744,Cần Thơ,Colleagues / Business partner,2018
365744,Cần Thơ,Friends,2018
365745,Cần Thơ,Friends,2018
365745,Cần Thơ,Family,2018
365746,Cần Thơ,Friends,2018
365747,Cần Thơ,Friends,2018
365748,Cần Thơ,Friends,2018
365845,Cần Thơ,Family,2018
366024,Cần Thơ,Friends,2018
366024,Cần Thơ,Colleagues / Business partner,2018
366024,Cần Thơ,Family,2018
366071,Hà Nội,Friends,2018
366071,Hà Nội,Family,2018
366071,Hà Nội,Boyfriend / Girlfriend,2018
366212,Cần Thơ,Family,2018
366212,Cần Thơ,Friends,2018
366212,Cần Thơ,Colleagues / Business partner,2018
366266,Hải Phòng,Family,2018
366360,Đà Nẵng,Family,2018
366360,Đà Nẵng,Friends,2018
366395,Cần Thơ,Colleagues / Business partner,2018
366420,Đà Nẵng,Colleagues / Business partner,2018
366447,Cần Thơ,Family,2018
366447,Cần Thơ,Friends,2018
366448,Cần Thơ,Family,2018
366448,Cần Thơ,Friends,2018
366448,Cần Thơ,Colleagues / Business partner,2018
366450,Cần Thơ,Alone,2018
366450,Cần Thơ,Friends,2018
366452,Cần Thơ,Friends,2018
366452,Cần Thơ,Family,2018
366453,Cần Thơ,Friends,2018
366453,Cần Thơ,Family,2018
366453,Cần Thơ,Alone,2018
366454,Cần Thơ,Family,2018
366454,Cần Thơ,Friends,2018
366455,Cần Thơ,Friends,2018
366455,Cần Thơ,Family,2018
366456,Cần Thơ,Friends,2018
366456,Cần Thơ,Family,2018
366458,Cần Thơ,Family,2018
366458,Cần Thơ,Alone,2018
366458,Cần Thơ,Friends,2018
366483,Đà Nẵng,Family,2018
366505,Cần Thơ,Colleagues / Business partner,2018
366505,Cần Thơ,Friends,2018
366520,Hồ Chí Minh,Friends,2018
366562,Đà Nẵng,Alone,2018
366595,Đà Nẵng,Friends,2018
366693,Cần Thơ,Friends,2018
366767,Đà Nẵng,Friends,2018
366767,Đà Nẵng,Colleagues / Business partner,2018
366767,Đà Nẵng,Boyfriend / Girlfriend,2018
366774,Đà Nẵng,Friends,2018
366855,Cần Thơ,Family,2018
366880,Hồ Chí Minh,Colleagues / Business partner,2018
366880,Hồ Chí Minh,Friends,2018
366883,Hồ Chí Minh,Friends,2018
366884,Hồ Chí Minh,Colleagues / Business partner,2018
366884,Hồ Chí Minh,Friends,2018
366889,Hồ Chí Minh,Family,2018
366889,Hồ Chí Minh,Colleagues / Business partner,2018
366889,Hồ Chí Minh,Friends,2018
366936,Cần Thơ,Alone,2018
367081,Cần Thơ,Friends,2018
367081,Cần Thơ,Colleagues / Business partner,2018
367081,Cần Thơ,Alone,2018
367082,Cần Thơ,Friends,2018
367083,Cần Thơ,Friends,2018
367084,Cần Thơ,Friends,2018
367085,Cần Thơ,Friends,2018
367132,Đà Nẵng,Colleagues / Business partner,2018
367174,Đà Nẵng,Colleagues / Business partner,2018
367174,Đà Nẵng,Friends,2018
367178,Hải Phòng,Friends,2018
367179,Hải Phòng,Friends,2018
367182,Hải Phòng,Friends,2018
367187,Đà Nẵng,Friends,2018
367187,Đà Nẵng,Family,2018
367222,Hồ Chí Minh,Friends,2018
367316,Đà Nẵng,Family,2018
367316,Đà Nẵng,Friends,2018
367324,Đà Nẵng,Family,2018
367348,Hà Nội,Family,2018
367348,Hà Nội,Friends,2018
367348,Hà Nội,Colleagues / Business partner,2018
367353,Hồ Chí Minh,Friends,2018
367354,Hồ Chí Minh,Friends,2018
367355,Hồ Chí Minh,Friends,2018
367355,Hồ Chí Minh,Family,2018
367357,Hồ Chí Minh,Friends,2018
367358,Hồ Chí Minh,Colleagues / Business partner,2018
367358,Hồ Chí Minh,Friends,2018
367359,Hồ Chí Minh,Colleagues / Business partner,2018
367359,Hồ Chí Minh,Friends,2018
367361,Hồ Chí Minh,Colleagues / Business partner,2018
367363,Hồ Chí Minh,Family,2018
367363,Hồ Chí Minh,Friends,2018
367367,Đà Nẵng,Friends,2018
367450,Cần Thơ,Friends,2018
367455,Cần Thơ,Friends,2018
367595,Cần Thơ,Family,2018
367647,Đà Nẵng,Friends,2018
367647,Đà Nẵng,Alone,2018
367674,Cần Thơ,Family,2018
367674,Cần Thơ,Friends,2018
367742,Đà Nẵng,Alone,2018
367742,Đà Nẵng,Family,2018
367742,Đà Nẵng,Colleagues / Business partner,2018
367742,Đà Nẵng,Friends,2018
367769,Đà Nẵng,Friends,2018
367781,Cần Thơ,Friends,2018
367781,Cần Thơ,Family,2018
367796,Cần Thơ,Friends,2018
367797,Hà Nội,Friends,2018
367856,Hồ Chí Minh,Family,2018
367856,Hồ Chí Minh,Friends,2018
367856,Hồ Chí Minh,Colleagues / Business partner,2018
367857,Hồ Chí Minh,Family,2018
367858,Hồ Chí Minh,Friends,2018
367858,Hồ Chí Minh,Family,2018
367859,Hồ Chí Minh,Friends,2018
367859,Hồ Chí Minh,Family,2018
367860,Hồ Chí Minh,Friends,2018
367861,Hồ Chí Minh,Family,2018
367863,Hồ Chí Minh,Family,2018
367864,Hồ Chí Minh,Friends,2018
367997,Đà Nẵng,Colleagues / Business partner,2018
367997,Đà Nẵng,Friends,2018
368104,Hải Phòng,Colleagues / Business partner,2018
368104,Hải Phòng,Friends,2018
368122,Cần Thơ,Friends,2018
368122,Cần Thơ,Family,2018
368126,Cần Thơ,Friends,2018
368127,Cần Thơ,Friends,2018
368128,Cần Thơ,Boyfriend / Girlfriend,2018
368128,Cần Thơ,Friends,2018
368128,Cần Thơ,Family,2018
368129,Cần Thơ,Friends,2018
368129,Cần Thơ,Family,2018
368130,Cần Thơ,Friends,2018
368130,Cần Thơ,Boyfriend / Girlfriend,2018
368132,Cần Thơ,Friends,2018
368200,Hà Nội,Friends,2018
368201,Hà Nội,Friends,2018
368241,Hà Nội,Friends,2018
368244,Hà Nội,Friends,2018
368244,Hà Nội,Colleagues / Business partner,2018
368244,Hà Nội,Boyfriend / Girlfriend,2018
368245,Hà Nội,Friends,2018
368245,Hà Nội,Boyfriend / Girlfriend,2018
368246,Hà Nội,Colleagues / Business partner,2018
368246,Hà Nội,Friends,2018
368247,Hà Nội,Family,2018
368248,Hà Nội,Family,2018
368248,Hà Nội,Colleagues / Business partner,2018
368249,Hà Nội,Family,2018
368249,Hà Nội,Colleagues / Business partner,2018
368249,Hà Nội,Friends,2018
368256,Cần Thơ,Colleagues / Business partner,2018
368256,Cần Thơ,Friends,2018
368267,Cần Thơ,Friends,2018
368267,Cần Thơ,Colleagues / Business partner,2018
368349,Cần Thơ,Family,2018
368349,Cần Thơ,Friends,2018
368350,Hồ Chí Minh,Friends,2018
368351,Hồ Chí Minh,Colleagues / Business partner,2018
368352,Hồ Chí Minh,Colleagues / Business partner,2018
368354,Hồ Chí Minh,Friends,2018
368355,Hồ Chí Minh,Friends,2018
368356,Hồ Chí Minh,Colleagues / Business partner,2018
368379,Hải Phòng,Friends,2018
368380,Hải Phòng,Friends,2018
368380,Hải Phòng,Alone,2018
368380,Hải Phòng,Colleagues / Business partner,2018
368410,Hồ Chí Minh,Friends,2018
368411,Hải Phòng,Colleagues / Business partner,2018
368411,Hải Phòng,Friends,2018
368415,Hải Phòng,Friends,2018
368416,Hải Phòng,Family,2018
368417,Cần Thơ,Friends,2018
368417,Cần Thơ,Boyfriend / Girlfriend,2018
368417,Cần Thơ,Colleagues / Business partner,2018
368418,Cần Thơ,Friends,2018
368418,Cần Thơ,Colleagues / Business partner,2018
368418,Cần Thơ,Family,2018
368419,Cần Thơ,Friends,2018
368425,Hải Phòng,Friends,2018
368426,Hải Phòng,Friends,2018
368426,Hải Phòng,Family,2018
368428,Hải Phòng,Colleagues / Business partner,2018
368428,Hải Phòng,Friends,2018
368429,Hải Phòng,Friends,2018
368429,Hải Phòng,Family,2018
368436,Hồ Chí Minh,Colleagues / Business partner,2018
368436,Hồ Chí Minh,Friends,2018
368448,Hải Phòng,Friends,2018
368449,Hồ Chí Minh,Friends,2018
368449,Hồ Chí Minh,Colleagues / Business partner,2018
368449,Hồ Chí Minh,Boyfriend / Girlfriend,2018
368450,Hồ Chí Minh,Family,2018
368450,Hồ Chí Minh,Friends,2018
368451,Hồ Chí Minh,Boyfriend / Girlfriend,2018
368451,Hồ Chí Minh,Colleagues / Business partner,2018
368451,Hồ Chí Minh,Friends,2018
368460,Hồ Chí Minh,Friends,2018
368460,Hồ Chí Minh,Colleagues / Business partner,2018
368468,Hà Nội,Family,2018
368468,Hà Nội,Friends,2018
368469,Hà Nội,Friends,2018
368469,Hà Nội,Family,2018
368472,Hải Phòng,Colleagues / Business partner,2018
368472,Hải Phòng,Friends,2018
368473,Hải Phòng,Friends,2018
368473,Hải Phòng,Family,2018
368481,Hồ Chí Minh,Friends,2018
368552,Hồ Chí Minh,Family,2018
368552,Hồ Chí Minh,Friends,2018
368553,Hồ Chí Minh,Alone,2018
368563,Hà Nội,Friends,2018
368563,Hà Nội,Family,2018
368577,Đà Nẵng,Friends,2018
368577,Đà Nẵng,Family,2018
368577,Đà Nẵng,Colleagues / Business partner,2018
368600,Hà Nội,Friends,2018
368600,Hà Nội,Family,2018
368601,Hà Nội,Friends,2018
368602,Hà Nội,Friends,2018
368602,Hà Nội,Family,2018
368647,Hải Phòng,Colleagues / Business partner,2018
368647,Hải Phòng,Friends,2018
368653,Hồ Chí Minh,Friends,2018
368653,Hồ Chí Minh,Family,2018
368654,Hồ Chí Minh,Friends,2018
368654,Hồ Chí Minh,Colleagues / Business partner,2018
368655,Hồ Chí Minh,Colleagues / Business partner,2018
368655,Hồ Chí Minh,Friends,2018
368656,Hồ Chí Minh,Friends,2018
368657,Hồ Chí Minh,Friends,2018
368657,Hồ Chí Minh,Family,2018
368658,Hồ Chí Minh,Friends,2018
368659,Hồ Chí Minh,Friends,2018
368660,Hồ Chí Minh,Friends,2018
368661,Hồ Chí Minh,Friends,2018
368661,Hồ Chí Minh,Family,2018
368681,Hồ Chí Minh,Friends,2018
368681,Hồ Chí Minh,Colleagues / Business partner,2018
368694,Đà Nẵng,Family,2018
368694,Đà Nẵng,Friends,2018
368731,Đà Nẵng,Colleagues / Business partner,2018
368731,Đà Nẵng,Friends,2018
368731,Đà Nẵng,Family,2018
