id,city,dayofweek,visit_dayofweek,year,weekday_end,dayofweek_index
451523,Nha Trang,Wednesday,2.0,2018,Weekdays,3
451523,Nha Trang,Thursday,2.0,2018,Weekdays,4
451523,Nha Trang,Monday,2.0,2018,Weekdays,1
451523,Nha Trang,Saturday,4.0,2018,Weekends,6
451523,Nha Trang,Tuesday,4.0,2018,Weekdays,2
451524,Hồ Chí Minh,Saturday,3.0,2018,Weekends,6
451524,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
451530,Đà Nẵng,Monday,5.0,2018,Weekdays,1
451530,Đà Nẵng,Tuesday,5.0,2018,Weekdays,2
451530,Đà Nẵng,Friday,5.0,2018,Weekdays,5
451530,Đà Nẵng,Wednesday,5.0,2018,Weekdays,3
451530,Đà Nẵng,Sunday,5.0,2018,Weekends,7
451530,Đà Nẵng,Saturday,5.0,2018,Weekends,6
451530,Đà Nẵng,Thursday,5.0,2018,Weekdays,4
451539,Đà Nẵng,Tuesday,4.0,2018,Weekdays,2
451539,Đà Nẵng,Friday,4.0,2018,Weekdays,5
451539,Đà Nẵng,Saturday,5.0,2018,Weekends,6
451539,Đà Nẵng,Thursday,4.0,2018,Weekdays,4
451539,Đà Nẵng,Wednesday,4.0,2018,Weekdays,3
451539,Đà Nẵng,Sunday,5.0,2018,Weekends,7
451539,Đà Nẵng,Monday,4.0,2018,Weekdays,1
451540,Nha Trang,Sunday,4.0,2018,Weekends,7
451546,Nha Trang,Tuesday,4.0,2018,Weekdays,2
451546,Nha Trang,Wednesday,3.0,2018,Weekdays,3
451546,Nha Trang,Saturday,2.0,2018,Weekends,6
451546,Nha Trang,Monday,2.0,2018,Weekdays,1
451546,Nha Trang,Thursday,4.0,2018,Weekdays,4
451546,Nha Trang,Sunday,3.0,2018,Weekends,7
451546,Nha Trang,Friday,3.0,2018,Weekdays,5
451548,Hồ Chí Minh,Sunday,3.0,2018,Weekends,7
451548,Hồ Chí Minh,Monday,3.0,2018,Weekdays,1
451548,Hồ Chí Minh,Thursday,3.0,2018,Weekdays,4
451548,Hồ Chí Minh,Saturday,3.0,2018,Weekends,6
451568,Hồ Chí Minh,Friday,2.0,2018,Weekdays,5
451568,Hồ Chí Minh,Saturday,3.0,2018,Weekends,6
451568,Hồ Chí Minh,Sunday,3.0,2018,Weekends,7
451569,Hồ Chí Minh,Tuesday,2.0,2018,Weekdays,2
451569,Hồ Chí Minh,Wednesday,2.0,2018,Weekdays,3
451569,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451569,Hồ Chí Minh,Monday,2.0,2018,Weekdays,1
451569,Hồ Chí Minh,Friday,2.0,2018,Weekdays,5
451569,Hồ Chí Minh,Thursday,2.0,2018,Weekdays,4
451570,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
451570,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451571,Hồ Chí Minh,Saturday,5.0,2018,Weekends,6
451571,Hồ Chí Minh,Sunday,3.0,2018,Weekends,7
451578,Nha Trang,Monday,3.0,2018,Weekdays,1
451578,Nha Trang,Friday,3.0,2018,Weekdays,5
451578,Nha Trang,Tuesday,3.0,2018,Weekdays,2
451578,Nha Trang,Thursday,3.0,2018,Weekdays,4
451578,Nha Trang,Wednesday,2.0,2018,Weekdays,3
451578,Nha Trang,Sunday,2.0,2018,Weekends,7
451578,Nha Trang,Saturday,3.0,2018,Weekends,6
451591,Hà Nội,Saturday,1.0,2018,Weekends,6
451591,Hà Nội,Wednesday,1.0,2018,Weekdays,3
451591,Hà Nội,Sunday,1.0,2018,Weekends,7
451600,Đà Nẵng,Friday,4.0,2018,Weekdays,5
451600,Đà Nẵng,Thursday,4.0,2018,Weekdays,4
451600,Đà Nẵng,Sunday,5.0,2018,Weekends,7
451600,Đà Nẵng,Monday,4.0,2018,Weekdays,1
451600,Đà Nẵng,Tuesday,4.0,2018,Weekdays,2
451600,Đà Nẵng,Saturday,5.0,2018,Weekends,6
451600,Đà Nẵng,Wednesday,4.0,2018,Weekdays,3
451606,Nha Trang,Thursday,4.0,2018,Weekdays,4
451606,Nha Trang,Tuesday,4.0,2018,Weekdays,2
451606,Nha Trang,Saturday,4.0,2018,Weekends,6
451623,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451623,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
451624,Hồ Chí Minh,Wednesday,4.0,2018,Weekdays,3
451627,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451628,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
451629,Hồ Chí Minh,Sunday,3.0,2018,Weekends,7
451629,Hồ Chí Minh,Saturday,2.0,2018,Weekends,6
451629,Hồ Chí Minh,Friday,2.0,2018,Weekdays,5
451693,Đà Nẵng,Saturday,4.0,2018,Weekends,6
451693,Đà Nẵng,Tuesday,3.0,2018,Weekdays,2
451693,Đà Nẵng,Wednesday,3.0,2018,Weekdays,3
451693,Đà Nẵng,Monday,4.0,2018,Weekdays,1
451693,Đà Nẵng,Friday,4.0,2018,Weekdays,5
451693,Đà Nẵng,Sunday,4.0,2018,Weekends,7
451693,Đà Nẵng,Thursday,3.0,2018,Weekdays,4
451695,Hồ Chí Minh,Thursday,6.0,2018,Weekdays,4
451695,Hồ Chí Minh,Tuesday,6.0,2018,Weekdays,2
451701,Đà Nẵng,Sunday,5.0,2018,Weekends,7
451701,Đà Nẵng,Saturday,5.0,2018,Weekends,6
451715,Đà Nẵng,Friday,7.0,2018,Weekdays,5
451715,Đà Nẵng,Wednesday,6.0,2018,Weekdays,3
451715,Đà Nẵng,Monday,6.0,2018,Weekdays,1
451715,Đà Nẵng,Tuesday,6.0,2018,Weekdays,2
451715,Đà Nẵng,Thursday,6.0,2018,Weekdays,4
451715,Đà Nẵng,Saturday,7.0,2018,Weekends,6
451715,Đà Nẵng,Sunday,7.0,2018,Weekends,7
451718,Đà Nẵng,Sunday,5.0,2018,Weekends,7
451718,Đà Nẵng,Saturday,5.0,2018,Weekends,6
451749,Đà Nẵng,Saturday,4.0,2018,Weekends,6
451749,Đà Nẵng,Sunday,4.0,2018,Weekends,7
451750,Đà Nẵng,Saturday,4.0,2018,Weekends,6
451750,Đà Nẵng,Tuesday,4.0,2018,Weekdays,2
451750,Đà Nẵng,Friday,4.0,2018,Weekdays,5
451750,Đà Nẵng,Wednesday,4.0,2018,Weekdays,3
451750,Đà Nẵng,Sunday,4.0,2018,Weekends,7
451750,Đà Nẵng,Thursday,4.0,2018,Weekdays,4
451750,Đà Nẵng,Monday,4.0,2018,Weekdays,1
451764,Đà Nẵng,Thursday,7.0,2018,Weekdays,4
451764,Đà Nẵng,Saturday,7.0,2018,Weekends,6
451764,Đà Nẵng,Sunday,8.0,2018,Weekends,7
451764,Đà Nẵng,Monday,7.0,2018,Weekdays,1
451764,Đà Nẵng,Tuesday,7.0,2018,Weekdays,2
451764,Đà Nẵng,Friday,7.0,2018,Weekdays,5
451764,Đà Nẵng,Wednesday,7.0,2018,Weekdays,3
451775,Hồ Chí Minh,Sunday,9.0,2018,Weekends,7
451815,Hồ Chí Minh,Thursday,2.0,2018,Weekdays,4
451815,Hồ Chí Minh,Wednesday,2.0,2018,Weekdays,3
451815,Hồ Chí Minh,Saturday,2.0,2018,Weekends,6
451815,Hồ Chí Minh,Sunday,2.0,2018,Weekends,7
451839,Hồ Chí Minh,Sunday,2.0,2018,Weekends,7
451839,Hồ Chí Minh,Saturday,2.0,2018,Weekends,6
451840,Hồ Chí Minh,Thursday,4.0,2018,Weekdays,4
