ID,Year,City,Brand,Spontaneous,Awareness,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Fre#visit,PPA,Spending,Segmentation,NPS#P3M,NPS#P3M#Group,Spending_use
137847,2017,Đà Nẵng,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,,4.0,,,,,,
416332,2018,Cần Thơ,Other 2,Other 2,Other 2,Other 2,Other 2,,,,,,,,,,8.0,Passive,
832864,2019,Hà Nội,Street,,Street,Street,Street,,Know it very well,,,,,,,,9.0,Promoter,
828497,2019,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know it very well,Highlands Coffee,Not Applicable,Not Applicable,1.0,50.0,50.0,Seg.02 - Mass Asp (VND 25K - VND 59K),8.0,Passive,50.0
353618,2018,Hồ Chí Minh,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
435106,2018,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,7.0,Passive,
410105,2018,Cần Thơ,Highlands Coffee,,Highlands Coffee,,,,,,,,,,,,,,
812183,2019,Hồ Chí Minh,Street,Street,Street,Street,,,Know it well,,,,,,,,,,
443566,2018,Hà Nội,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,2.0,40.0,80.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,80.0
441981,2018,Cần Thơ,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
419496,2018,Hải Phòng,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,,,,,,,,,,,,
851269,2019,Cần Thơ,Mê Trang,,Mê Trang,Mê Trang,Mê Trang,,Know it well,,,,,,,,7.0,Passive,
126157,2017,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
438096,2018,Nha Trang,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,1.0,30.0,30.0,Seg.02 - Mass Asp (VND 25K - VND 59K),8.0,Passive,30.0
121679,2017,Hà Nội,Starbucks,Starbucks,Starbucks,Starbucks,Starbucks,Starbucks,,,,,1.0,,,,10.0,Promoter,
138677,2017,Hà Nội,Starbucks,Starbucks,Starbucks,Starbucks,,,,,,,,,,,,,
97111,2017,Hà Nội,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,,,,,,,,,,,,
360733,2018,Cần Thơ,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
435042,2018,Hà Nội,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,,,,,,,,,,,,,
134136,2017,Đà Nẵng,Highlands Coffee,,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,,,3.0,,,,7.0,Passive,
134136,2017,Đà Nẵng,Other Branded Cafe Chain,Other Branded Cafe Chain,Other Branded Cafe Chain,Other Branded Cafe Chain,Other Branded Cafe Chain,,,,,,,,,,,,
138798,2017,Đà Nẵng,Gong Cha,,Gong Cha,Gong Cha,Gong Cha,,,,,,,,,,4.0,Detractor,
792940,2019,Nha Trang,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,Know a little,,,,,,,,,,
445699,2018,Hải Phòng,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
125688,2017,Hải Phòng,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,,,1.0,,,,,,
